День недели,Дата,Максимальная температура,Минимальная температура,Облачность,"Ветер, м/c","Осадки,мм"
Ср,27 апр,+16,+8,"Переменная облачность, небольшой дождь",10 ,"0,1"
Чт,28,+12,+7,Переменная облачность,7 ,0
Пт,29,+11,+5,Переменная облачность,8 ,0
Сб,30,+11,+4,"Переменная облачность, небольшой дождь",7 ,"0,7"
Вс,1 май,+10,+2,Переменная облачность,6 ,0
Пн,2,+12,+4,Переменная облачность,3 ,0
Вт,3,+15,+6,"Переменная облачность, небольшой дождь",7 ,"1,1"
Ср,4,+17,+8,"Облачно, небольшой дождь",9 ,"2,7"
Чт,5,+10,+6,"Пасмурно, небольшой дождь",8 ,"2,3"
Пт,6,+17,+7,"Переменная облачность, дождь, гроза",13 ,"3,3"
Сб,7,+14,+3,Ясно,8 ,0
Вс,8,+19,+7,Переменная облачность,12 ,0
Пн,9,+14,+10,"Пасмурно, дождь",13 ,"5,9"
Вт,10,+18,+7,Ясно,7 ,0
