 День недели , Дата , Максимальная температура , Минимальная температура , Облачность," Ветер, м/c "," Осадки,мм"
Чт,28 апр,+10,−1,"Переменная облачность, небольшой дождь",13 ,"1,1"
Пт,29,+14,+1,Переменная облачность,9 ,0
Сб,30,+14,+3,"Пасмурно, небольшой дождь",7 ,"0,9"
Вс,1 май,+10,+2,"Пасмурно, дождь",10 ,"4,3"
Пн,2,+9,+3,Пасмурно,8 ,0
Вт,3,+11,+3,"Пасмурно, небольшой дождь",12 ,"2,7"
Ср,4,+8,+2,Переменная облачность,12 ,0
Чт,5,+15,+3,Пасмурно,13 ,0
Пт,6,+12,+6,"Переменная облачность, небольшой дождь",14 ,"0,9"
Сб,7,+13,+4,"Переменная облачность, небольшой дождь",10 ,"2,8"
Вс,8,+13,+4,Переменная облачность,10 ,0
Пн,9,+17,+5,Переменная облачность,5 ,0
Вт,10,+11,+8,"Пасмурно, сильный дождь",14 ,"20,2"
Ср,11,+12,+7,"Пасмурно, дождь",11 ,"9,4"
